Date,Description,Amount,Transaction Type,Category,Account Number
02/01/2019,Biweekly Paycheck,2000,credit,Paycheck,95028-5949457
02/01/2019,Roadside Diner,9.47,debit,Restaurants,95028-1307804
02/01/2019,Amazon,13.09,debit,Shopping,95028-6611199
02/01/2019,Biweekly Paycheck,2000,credit,Paycheck,95028-5949457
02/01/2019,Roadside Diner,9.47,debit,Restaurants,95028-1307804
02/01/2019,Amazon,13.09,debit,Shopping,95028-6611199
02/01/2019,Biweekly Paycheck,2000,credit,Paycheck,95028-5949457
02/01/2019,Roadside Diner,9.47,debit,Restaurants,95028-1307804
02/01/2019,Amazon,13.09,debit,Shopping,95028-6611199
02/04/2019,Hardware Store,86.97,debit,Home Improvement,95028-1307804
02/04/2019,Netflix,11.76,debit,Television,95028-6611199
02/04/2019,Hardware Store,86.97,debit,Home Improvement,95028-1307804
02/04/2019,Netflix,11.76,debit,Television,95028-6611199
02/05/2019,Mortgage Payment,1100,debit,Mortgage & Rent,95028-5949457
02/07/2019,Gas Company,65,debit,Utilities,95028-5949457
02/08/2019,Starbucks,3,debit,Coffee Shops,95028-6611199
02/08/2019,Thai Restaurant,27.47,debit,Restaurants,95028-6611199
02/08/2019,Starbucks,3,debit,Coffee Shops,95028-6611199
02/08/2019,Thai Restaurant,27.47,debit,Restaurants,95028-6611199
02/09/2019,Spotify,10.69,debit,Music,95028-6611199
02/11/2019,Starbucks,3,debit,Coffee Shops,95028-6611199
02/11/2019,BP,24.01,debit,Gas & Fuel,95028-6611199
02/11/2019,Starbucks,3,debit,Coffee Shops,95028-6611199
02/11/2019,BP,24.01,debit,Gas & Fuel,95028-6611199
02/12/2019,Grocery Store,30.54,debit,Groceries,95028-6611199
02/12/2019,Phone Company,65,debit,Mobile Phone,95028-5949457
02/12/2019,Grocery Store,30.54,debit,Groceries,95028-6611199
02/12/2019,Phone Company,65,debit,Mobile Phone,95028-5949457
02/13/2019,Grocery Store,8.21,debit,Groceries,95028-6611199
02/15/2019,Credit Card Payment,207.47,credit,Credit Card Payment,95028-6611199
02/15/2019,Credit Card Payment,207.47,debit,Credit Card Payment,95028-5949457
02/15/2019,Grocery Store,4.59,debit,Groceries,95028-6611199
02/15/2019,Biweekly Paycheck,2000,credit,Paycheck,95028-5949457
02/15/2019,Power Company,60,debit,Utilities,95028-5949457
02/15/2019,Credit Card Payment,207.47,credit,Credit Card Payment,95028-6611199
02/15/2019,Credit Card Payment,207.47,debit,Credit Card Payment,95028-5949457
02/15/2019,Grocery Store,4.59,debit,Groceries,95028-6611199
02/15/2019,Biweekly Paycheck,2000,credit,Paycheck,95028-5949457
02/15/2019,Power Company,60,debit,Utilities,95028-5949457
02/15/2019,Credit Card Payment,207.47,credit,Credit Card Payment,95028-6611199
02/15/2019,Credit Card Payment,207.47,debit,Credit Card Payment,95028-5949457
02/15/2019,Grocery Store,4.59,debit,Groceries,95028-6611199
02/15/2019,Biweekly Paycheck,2000,credit,Paycheck,95028-5949457
02/15/2019,Power Company,60,debit,Utilities,95028-5949457
02/15/2019,Credit Card Payment,207.47,credit,Credit Card Payment,95028-6611199
02/15/2019,Credit Card Payment,207.47,debit,Credit Card Payment,95028-5949457
02/15/2019,Grocery Store,4.59,debit,Groceries,95028-6611199
02/15/2019,Biweekly Paycheck,2000,credit,Paycheck,95028-5949457
02/15/2019,Power Company,60,debit,Utilities,95028-5949457
02/15/2019,Credit Card Payment,207.47,credit,Credit Card Payment,95028-6611199
02/15/2019,Credit Card Payment,207.47,debit,Credit Card Payment,95028-5949457
02/15/2019,Grocery Store,4.59,debit,Groceries,95028-6611199
02/15/2019,Biweekly Paycheck,2000,credit,Paycheck,95028-5949457
02/15/2019,Power Company,60,debit,Utilities,95028-5949457
02/16/2019,Brewing Company,8,debit,Alcohol & Bars,95028-6611199
02/16/2019,American Tavern,32.75,debit,Restaurants,95028-6611199
02/16/2019,Amazon,37.45,debit,Shopping,95028-6611199
02/16/2019,Brewing Company,8,debit,Alcohol & Bars,95028-6611199
02/16/2019,American Tavern,32.75,debit,Restaurants,95028-6611199
02/16/2019,Amazon,37.45,debit,Shopping,95028-6611199
02/16/2019,Brewing Company,8,debit,Alcohol & Bars,95028-6611199
02/16/2019,American Tavern,32.75,debit,Restaurants,95028-6611199
02/16/2019,Amazon,37.45,debit,Shopping,95028-6611199
02/19/2019,City Water Charges,35,debit,Utilities,95028-5949457
02/20/2019,State Farm,75,debit,Auto Insurance,95028-5949457
02/20/2019,Credit Card Payment,292.54,credit,Credit Card Payment,95028-1307804
02/20/2019,Barbershop,30,debit,Haircut,95028-6611199
02/20/2019,State Farm,75,debit,Auto Insurance,95028-5949457
02/20/2019,Credit Card Payment,292.54,credit,Credit Card Payment,95028-1307804
02/20/2019,Barbershop,30,debit,Haircut,95028-6611199
02/20/2019,State Farm,75,debit,Auto Insurance,95028-5949457
02/20/2019,Credit Card Payment,292.54,credit,Credit Card Payment,95028-1307804
02/20/2019,Barbershop,30,debit,Haircut,95028-6611199
02/21/2019,Credit Card Payment,292.54,debit,Credit Card Payment,95028-5949457
02/21/2019,Grocery Store,46.96,debit,Groceries,95028-1307804
02/21/2019,Credit Card Payment,292.54,debit,Credit Card Payment,95028-5949457
02/21/2019,Grocery Store,46.96,debit,Groceries,95028-1307804
02/25/2019,BP,33.8,debit,Gas & Fuel,95028-1307804
02/25/2019,Internet Service Provider,75,debit,Internet,95028-5949457
02/25/2019,BP,33.8,debit,Gas & Fuel,95028-1307804
02/25/2019,Internet Service Provider,75,debit,Internet,95028-5949457
02/27/2019,Roadside Diner,25.77,debit,Restaurants,95028-1307804
02/28/2019,Grocery Store,32.07,debit,Groceries,95028-1307804
