Date,Description,Amount,Transaction Type,Category,Account Number
07/01/2018,Amazon,13.13,debit,Shopping,95028-6611199
07/02/2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,95028-5949457
07/02/2018,Movie Theater,25,debit,Movies & DVDs,95028-1307804
07/02/2018,American Tavern,36.44,debit,Restaurants,95028-1307804
07/02/2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,95028-5949457
07/02/2018,Movie Theater,25,debit,Movies & DVDs,95028-1307804
07/02/2018,American Tavern,36.44,debit,Restaurants,95028-1307804
07/02/2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,95028-5949457
07/02/2018,Movie Theater,25,debit,Movies & DVDs,95028-1307804
07/02/2018,American Tavern,36.44,debit,Restaurants,95028-1307804
07/04/2018,BP,34.48,debit,Gas & Fuel,95028-1307804
07/04/2018,Netflix,11.76,debit,Movies & DVDs,95028-6611199
07/04/2018,BP,34.48,debit,Gas & Fuel,95028-1307804
07/04/2018,Netflix,11.76,debit,Movies & DVDs,95028-6611199
07/05/2018,Grocery Store,44.25,debit,Groceries,95028-1307804
07/05/2018,Amazon,212.32,debit,Shopping,95028-6611199
07/05/2018,Grocery Store,44.25,debit,Groceries,95028-1307804
07/05/2018,Amazon,212.32,debit,Shopping,95028-6611199
07/06/2018,Amazon Video,6.41,debit,Movies & DVDs,95028-6611199
07/06/2018,Biweekly Paycheck,2000,credit,Paycheck,95028-5949457
07/06/2018,Amazon Video,6.41,debit,Movies & DVDs,95028-6611199
07/06/2018,Biweekly Paycheck,2000,credit,Paycheck,95028-5949457
07/08/2018,Credit Card Payment,259.87,credit,Credit Card Payment,95028-6611199
07/09/2018,Credit Card Payment,242.16,credit,Credit Card Payment,95028-1307804
07/09/2018,Credit Card Payment,259.87,debit,Credit Card Payment,95028-5949457
07/09/2018,Spotify,10.69,debit,Music,95028-6611199
07/09/2018,Credit Card Payment,242.16,credit,Credit Card Payment,95028-1307804
07/09/2018,Credit Card Payment,259.87,debit,Credit Card Payment,95028-5949457
07/09/2018,Spotify,10.69,debit,Music,95028-6611199
07/09/2018,Credit Card Payment,242.16,credit,Credit Card Payment,95028-1307804
07/09/2018,Credit Card Payment,259.87,debit,Credit Card Payment,95028-5949457
07/09/2018,Spotify,10.69,debit,Music,95028-6611199
07/10/2018,Credit Card Payment,242.16,debit,Credit Card Payment,95028-5949457
07/10/2018,Grocery Store,5.39,debit,Groceries,95028-1307804
07/10/2018,Gas Company,30,debit,Utilities,95028-5949457
07/10/2018,Credit Card Payment,242.16,debit,Credit Card Payment,95028-5949457
07/10/2018,Grocery Store,5.39,debit,Groceries,95028-1307804
07/10/2018,Gas Company,30,debit,Utilities,95028-5949457
07/10/2018,Credit Card Payment,242.16,debit,Credit Card Payment,95028-5949457
07/10/2018,Grocery Store,5.39,debit,Groceries,95028-1307804
07/10/2018,Gas Company,30,debit,Utilities,95028-5949457
07/11/2018,Phone Company,89.46,debit,Mobile Phone,95028-5949457
07/14/2018,Go Mart,33.51,debit,Gas & Fuel,95028-1307804
07/15/2018,Circle K,36.24,debit,Gas & Fuel,95028-6611199
07/17/2018,Wendy's,15.23,debit,Fast Food,95028-1307804
07/17/2018,City Water Charges,35,debit,Utilities,95028-5949457
07/17/2018,Power Company,60,debit,Utilities,95028-5949457
07/17/2018,Wendy's,15.23,debit,Fast Food,95028-1307804
07/17/2018,City Water Charges,35,debit,Utilities,95028-5949457
07/17/2018,Power Company,60,debit,Utilities,95028-5949457
07/17/2018,Wendy's,15.23,debit,Fast Food,95028-1307804
07/17/2018,City Water Charges,35,debit,Utilities,95028-5949457
07/17/2018,Power Company,60,debit,Utilities,95028-5949457
07/18/2018,Irish Restaurant,28.54,debit,Alcohol & Bars,95028-6611199
07/18/2018,State Farm,75,debit,Auto Insurance,95028-5949457
07/18/2018,Irish Restaurant,28.54,debit,Alcohol & Bars,95028-6611199
07/18/2018,State Farm,75,debit,Auto Insurance,95028-5949457
07/20/2018,Credit Card Payment,61.43,credit,Credit Card Payment,95028-1307804
07/20/2018,Credit Card Payment,102.88,credit,Credit Card Payment,95028-6611199
07/20/2018,Credit Card Payment,102.88,debit,Credit Card Payment,95028-5949457
07/20/2018,Biweekly Paycheck,2000,credit,Paycheck,95028-5949457
07/20/2018,Credit Card Payment,61.43,credit,Credit Card Payment,95028-1307804
07/20/2018,Credit Card Payment,102.88,credit,Credit Card Payment,95028-6611199
07/20/2018,Credit Card Payment,102.88,debit,Credit Card Payment,95028-5949457
07/20/2018,Biweekly Paycheck,2000,credit,Paycheck,95028-5949457
07/20/2018,Credit Card Payment,61.43,credit,Credit Card Payment,95028-1307804
07/20/2018,Credit Card Payment,102.88,credit,Credit Card Payment,95028-6611199
07/20/2018,Credit Card Payment,102.88,debit,Credit Card Payment,95028-5949457
07/20/2018,Biweekly Paycheck,2000,credit,Paycheck,95028-5949457
07/20/2018,Credit Card Payment,61.43,credit,Credit Card Payment,95028-1307804
07/20/2018,Credit Card Payment,102.88,credit,Credit Card Payment,95028-6611199
07/20/2018,Credit Card Payment,102.88,debit,Credit Card Payment,95028-5949457
07/20/2018,Biweekly Paycheck,2000,credit,Paycheck,95028-5949457
07/21/2018,Grocery Store,28.93,debit,Groceries,95028-6611199
07/21/2018,Barbershop,30,debit,Haircut,95028-6611199
07/21/2018,Grocery Store,28.93,debit,Groceries,95028-6611199
07/21/2018,Barbershop,30,debit,Haircut,95028-6611199
07/23/2018,Credit Card Payment,61.43,debit,Credit Card Payment,95028-5949457
07/23/2018,Starbucks,9.58,debit,Fast Food,95028-6611199
07/23/2018,Credit Card Payment,61.43,debit,Credit Card Payment,95028-5949457
07/23/2018,Starbucks,9.58,debit,Fast Food,95028-6611199
07/24/2018,American Tavern,26.59,debit,Restaurants,95028-6611199
07/25/2018,Internet Service Provider,74.99,debit,Internet,95028-5949457
07/26/2018,Conoco,33.67,debit,Gas & Fuel,95028-1307804
07/28/2018,Grocery Store,7.61,debit,Groceries,95028-1307804
07/30/2018,American Tavern,34.38,debit,Restaurants,95028-1307804
07/31/2018,Brewing Company,6.6,debit,Alcohol & Bars,95028-1307804
